ANNO,MES,PROVINCIAS,CERO,ECO,B,C
2018,10,Guipúzcoa,3,50,27,1096
2019,10,Guipúzcoa,7,85,21,1356
2018,11,Guipúzcoa,3,49,27,1073
2019,11,Guipúzcoa,7,81,20,1288
2018,12,Guipúzcoa,3,51,28,1118
2019,12,Guipúzcoa,7,85,21,1356
2018,2,Guipúzcoa,4,55,30,1216
2019,2,Guipúzcoa,7,83,20,1323
2018,3,Guipúzcoa,4,63,35,1397
2019,3,Guipúzcoa,8,102,25,1616
2018,4,Guipúzcoa,4,59,33,1315
2019,4,Guipúzcoa,8,100,24,1581
2018,5,Guipúzcoa,5,69,39,1519
2019,5,Guipúzcoa,9,106,26,1688
2018,6,Guipúzcoa,5,71,40,1577
2019,6,Guipúzcoa,11,108,27,1718
2018,7,Guipúzcoa,4,67,36,1472
2019,7,Guipúzcoa,8,101,25,1609
2018,8,Guipúzcoa,4,54,30,1195
2019,8,Guipúzcoa,5,67,16,1058
2018,9,Guipúzcoa,3,40,22,886
2019,9,Guipúzcoa,6,72,18,1150
2018,1,Girona,12,111,66,1440
2019,1,Girona,10,116,57,1584
2018,10,Girona,12,106,63,1376
2019,10,Girona,11,125,61,1693
2018,11,Girona,12,104,62,1348
2019,11,Girona,10,118,58,1609
2018,12,Girona,12,108,64,1404
2019,12,Girona,11,125,61,1693
2018,2,Girona,14,117,70,1527
2019,2,Girona,10,122,60,1655
2018,3,Girona,15,135,80,1756
2019,3,Girona,14,148,73,2018
2018,4,Girona,15,127,75,1651
2019,4,Girona,14,145,72,1976
2018,5,Girona,17,147,87,1907
2019,5,Girona,15,155,76,2110
2018,6,Girona,17,152,90,1979
2019,6,Girona,15,158,80,2147
2018,7,Girona,17,142,84,1849
2019,7,Girona,14,148,73,2008
2018,8,Girona,14,115,69,1501
2019,8,Girona,9,97,48,1320
2018,9,Girona,9,85,51,1112
2019,9,Girona,9,106,52,1434
2018,1,Granada,4,82,113,1232
2019,1,Granada,7,95,104,1470
2018,10,Granada,4,78,108,1177
2019,10,Granada,8,102,112,1574
2018,11,Granada,4,77,106,1154
2019,11,Granada,7,97,106,1495
2018,12,Granada,4,80,110,1202
2019,12,Granada,8,102,112,1574
2018,2,Granada,4,87,120,1306
