PUNTO_MUESTREO,MES,MAGNITUD,ANO,PROVINCIA,MEDIA_MAGS,LONGITUD,LATITUD
28079008,07,12,2020,28,37.32258064516129,-3.6823158,40.4215533
28079008,08,12,2020,28,37.12903225806452,-3.6823158,40.4215533
28079008,09,12,2020,28,48.516129032258064,-3.6823158,40.4215533
28079008,10,12,2020,28,62.61290322580645,-3.6823158,40.4215533
28079008,11,12,2020,28,86.58064516129032,-3.6823158,40.4215533
28079008,12,12,2020,28,66.03225806451613,-3.6823158,40.4215533
28079008,01,14,2020,28,20.516129032258064,-3.6823158,40.4215533
28079008,02,14,2020,28,19.967741935483872,-3.6823158,40.4215533
28079008,03,14,2020,28,50.29032258064516,-3.6823158,40.4215533
28079008,04,14,2020,28,58.645161290322584,-3.6823158,40.4215533
28079008,05,14,2020,28,69.06451612903226,-3.6823158,40.4215533
28079008,06,14,2020,28,61.87096774193548,-3.6823158,40.4215533
28079008,07,14,2020,28,70.2258064516129,-3.6823158,40.4215533
28079008,08,14,2020,28,58.38709677419355,-3.6823158,40.4215533
28079008,09,14,2020,28,49.70967741935484,-3.6823158,40.4215533
28079008,10,14,2020,28,39.87096774193548,-3.6823158,40.4215533
28079008,11,14,2020,28,20.64516129032258,-3.6823158,40.4215533
28079008,12,14,2020,28,30.225806451612904,-3.6823158,40.4215533
28079008,01,20,2020,28,3.6129032258064524,-3.6823158,40.4215533
28079008,02,20,2020,28,3.4774193548387102,-3.6823158,40.4215533
28079008,03,20,2020,28,1.529032258064516,-3.6823158,40.4215533
28079008,04,20,2020,28,0.5225806451612904,-3.6823158,40.4215533
28079008,05,20,2020,28,1.4709677419354834,-3.6823158,40.4215533
28079008,06,20,2020,28,1.738709677419355,-3.6823158,40.4215533
28079008,07,20,2020,28,2.103225806451613,-3.6823158,40.4215533
28079008,08,20,2020,28,2.2548387096774194,-3.6823158,40.4215533
28079008,09,20,2020,28,2.5387096774193547,-3.6823158,40.4215533
28079008,10,20,2020,28,2.8967741935483864,-3.6823158,40.4215533
28079008,11,20,2020,28,3.238709677419355,-3.6823158,40.4215533
28079008,12,20,2020,28,2.1419354838709674,-3.6823158,40.4215533
28079008,01,30,2020,28,1.096774193548387,-3.6823158,40.4215533
28079008,02,30,2020,28,0.9193548387096774,-3.6823158,40.4215533
28079008,03,30,2020,28,0.5193548387096775,-3.6823158,40.4215533
28079008,04,30,2020,28,0.24516129032258066,-3.6823158,40.4215533
28079008,05,30,2020,28,0.27096774193548395,-3.6823158,40.4215533
28079008,06,30,2020,28,0.30967741935483883,-3.6823158,40.4215533
28079008,07,30,2020,28,0.39999999999999997,-3.6823158,40.4215533
28079008,08,30,2020,28,0.4064516129032258,-3.6823158,40.4215533
28079008,09,30,2020,28,0.529032258064516,-3.6823158,40.4215533
28079008,10,30,2020,28,0.6032258064516128,-3.6823158,40.4215533
28079008,11,30,2020,28,0.6806451612903226,-3.6823158,40.4215533
28079008,12,30,2020,28,0.5806451612903227,-3.6823158,40.4215533
28079008,01,35,2020,28,1.0354838709677419,-3.6823158,40.4215533
28079008,02,35,2020,28,1.4419354838709681,-3.6823158,40.4215533
28079008,03,35,2020,28,0.41612903225806447,-3.6823158,40.4215533
28079008,04,35,2020,28,0.28387096774193554,-3.6823158,40.4215533
28079008,05,35,2020,28,0.996774193548387,-3.6823158,40.4215533
28079008,06,35,2020,28,0.5064516129032258,-3.6823158,40.4215533
28079008,07,35,2020,28,1.6451612903225807,-3.6823158,40.4215533
28079008,08,35,2020,28,1.4161290322580646,-3.6823158,40.4215533
